w,d,wall_h,has_upper,upper_h,has_chimney,has_porch,has_extension,roof_type,foundation_h,aspect_ratio,ext_w,score
14.0,14.0,5.0,0.0,0.0,1.0,1.0,0.0,gabled,1.0,1.0,0.0,0.2
11.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.5714285373687744,0.0,0.2
5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,gabled,1.0,2.4000000953674316,0.0,0.2
13.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.625,0.0,0.2
9.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,1.2857142686843872,0.0,0.2
13.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,steep,1.0,2.5999999046325684,0.0,0.2
9.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,gabled,1.0,1.5,0.0,0.2
8.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.125,0.0,0.2
9.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,gabled,1.0,1.7999999523162842,0.0,0.2
12.0,13.0,5.0,0.0,0.0,1.0,1.0,1.0,cross,1.0,1.0833333730697632,3.0,0.2
13.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,gabled,1.0,2.5999999046325684,0.0,0.2
10.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,gabled,2.0,2.0,0.0,0.2
11.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,cross,1.0,1.2727272510528564,0.0,0.2
11.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,gabled,2.0,2.200000047683716,0.0,0.2
8.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.125,0.0,0.4
10.0,9.0,3.0,1.0,2.0,1.0,1.0,1.0,steep,1.0,1.1111111640930176,4.0,0.2
13.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,gabled,1.0,1.1818181276321411,0.0,0.4
7.0,14.0,4.0,1.0,3.0,1.0,0.0,0.0,gabled,2.0,2.0,0.0,0.2
6.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.8333333730697632,0.0,0.2
5.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,2.5999999046325684,0.0,0.2
8.0,10.0,4.0,1.0,3.0,1.0,0.0,1.0,gabled,2.0,1.25,3.0,0.2
9.0,11.0,4.0,1.0,3.0,1.0,1.0,0.0,gabled,2.0,1.2222222089767456,0.0,0.2
7.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,2.0,0.0,0.2
8.0,11.0,5.0,0.0,0.0,1.0,1.0,0.0,steep,2.0,1.375,0.0,0.2
12.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,steep,1.0,1.7142857313156128,0.0,0.2
6.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.3333333730697632,0.0,0.2
13.0,12.0,3.0,0.0,0.0,0.0,1.0,1.0,gabled,2.0,1.0833333730697632,4.0,0.1
13.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,steep,2.0,1.076923131942749,0.0,0.4
12.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,steep,2.0,1.7142857313156128,0.0,0.4
9.0,13.0,4.0,0.0,0.0,1.0,1.0,1.0,gabled,1.0,1.4444444179534912,4.0,0.2
13.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,gabled,1.0,2.1666667461395264,0.0,0.2
10.0,13.0,4.0,1.0,2.0,0.0,1.0,0.0,cross,1.0,1.2999999523162842,0.0,0.4
14.0,11.0,4.0,1.0,3.0,1.0,1.0,0.0,cross,2.0,1.2727272510528564,0.0,0.2
13.0,14.0,3.0,1.0,3.0,1.0,1.0,1.0,steep,1.0,1.076923131942749,4.0,0.2
7.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,steep,2.0,1.7142857313156128,0.0,0.2
5.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.2000000476837158,0.0,0.3
5.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.7999999523162842,0.0,0.2
11.0,9.0,4.0,1.0,2.0,1.0,0.0,1.0,cross,1.0,1.2222222089767456,3.0,0.2
6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,gabled,1.0,1.2000000476837158,0.0,0.2
14.0,7.0,3.0,1.0,2.0,1.0,1.0,0.0,steep,1.0,2.0,0.0,0.2
7.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,steep,1.0,2.0,0.0,0.2
9.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,steep,1.0,1.5,0.0,0.2
